filename,width,height,class,xmin,ymin,xmax,ymax
Video_2024-01-25_1426501143_jpg.rf.115bba7e1fd7d6a056b366bb675eb8d2.jpg,640,640,4,133,361,239,471
Video_2024-01-25_1426501143_jpg.rf.115bba7e1fd7d6a056b366bb675eb8d2.jpg,640,640,5,165,278,237,395
Video_2024-01-25_1426501143_jpg.rf.115bba7e1fd7d6a056b366bb675eb8d2.jpg,640,640,5,180,211,269,328
Video_2024-01-25_1426501143_jpg.rf.115bba7e1fd7d6a056b366bb675eb8d2.jpg,640,640,5,345,166,403,310
Video_2024-01-25_142650789_jpg.rf.788ac6cfff017070516be246a161f946.jpg,640,640,0,239,260,280,381
Video_2024-01-25_142650789_jpg.rf.788ac6cfff017070516be246a161f946.jpg,640,640,6,278,271,312,399
Video_2024-01-25_142650789_jpg.rf.788ac6cfff017070516be246a161f946.jpg,640,640,8,314,292,349,420
Video_2024-01-25_1426501034_jpg.rf.54f661faa039675432b2953570b5b98e.jpg,640,640,5,305,342,371,498
Video_2024-01-25_1426501034_jpg.rf.54f661faa039675432b2953570b5b98e.jpg,640,640,5,325,328,386,448
Video_2024-01-25_1426501034_jpg.rf.54f661faa039675432b2953570b5b98e.jpg,640,640,4,332,277,403,402
Video_2024-01-25_14265022_jpg.rf.f124a2266f743d89f6de42d1b9449312.jpg,640,640,0,189,75,349,143
Video_2024-01-25_14265022_jpg.rf.f124a2266f743d89f6de42d1b9449312.jpg,640,640,5,189,119,344,177
Video_2024-01-25_14265022_jpg.rf.f124a2266f743d89f6de42d1b9449312.jpg,640,640,4,192,158,340,214
Video_2024-01-25_142650682_jpg.rf.731566259ea655ec67dbba5acb50f9be.jpg,640,640,0,207,95,334,197
Video_2024-01-25_142650682_jpg.rf.731566259ea655ec67dbba5acb50f9be.jpg,640,640,6,276,140,390,240
Video_2024-01-25_142650682_jpg.rf.731566259ea655ec67dbba5acb50f9be.jpg,640,640,9,355,177,457,285
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,0,180,372,402,434
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,5,225,348,424,408
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,7,286,322,471,383
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,7,215,215,391,277
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,5,344,203,529,267
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,0,488,197,622,248
Video_2024-01-25_142650234_jpg.rf.ff73059140b74d22c0ef601b5c83c432.jpg,640,640,6,371,153,526,201
Video_2024-01-25_1426501066_jpg.rf.8f2d1e27cb3b578930faaafc4f072331.jpg,640,640,7,435,322,540,373
Video_2024-01-25_1426501066_jpg.rf.8f2d1e27cb3b578930faaafc4f072331.jpg,640,640,5,409,292,508,350
Video_2024-01-25_1426501066_jpg.rf.8f2d1e27cb3b578930faaafc4f072331.jpg,640,640,4,381,262,454,333
Video_2024-01-25_1426501066_jpg.rf.8f2d1e27cb3b578930faaafc4f072331.jpg,640,640,5,124,421,195,503
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,0,392,128,525,236
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,5,315,142,419,249
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,6,228,157,332,243
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,0,243,367,410,438
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,5,253,333,418,402
Video_2024-01-25_142650328_jpg.rf.915e4603c2f20407b44fc61d866a4ebe.jpg,640,640,6,262,298,438,372
Video_2024-01-25_14265047_jpg.rf.b02176e62eaa4493bc20d853c8187f1f.jpg,640,640,0,176,295,349,389
Video_2024-01-25_14265047_jpg.rf.b02176e62eaa4493bc20d853c8187f1f.jpg,640,640,5,155,352,315,436
Video_2024-01-25_14265047_jpg.rf.b02176e62eaa4493bc20d853c8187f1f.jpg,640,640,4,142,415,290,479
Video_2024-01-25_142650421_jpg.rf.378dc025a7f8c506ec3155a8dfb2cd68.jpg,640,640,0,35,345,109,514
Video_2024-01-25_142650421_jpg.rf.378dc025a7f8c506ec3155a8dfb2cd68.jpg,640,640,5,73,330,141,505
Video_2024-01-25_142650421_jpg.rf.378dc025a7f8c506ec3155a8dfb2cd68.jpg,640,640,5,113,322,181,488
Video_2024-01-25_142650484_jpg.rf.6bab11706df272cacb9d2af2173638da.jpg,640,640,0,230,111,346,213
Video_2024-01-25_142650484_jpg.rf.6bab11706df272cacb9d2af2173638da.jpg,640,640,5,303,156,421,243
Video_2024-01-25_142650484_jpg.rf.6bab11706df272cacb9d2af2173638da.jpg,640,640,7,377,183,484,259
Video_2024-01-25_142650484_jpg.rf.6bab11706df272cacb9d2af2173638da.jpg,640,640,7,316,332,455,383
Video_2024-01-25_142650429_jpg.rf.745a04b1285454e865b784b830959ef5.jpg,640,640,0,200,287,225,455
Video_2024-01-25_142650429_jpg.rf.745a04b1285454e865b784b830959ef5.jpg,640,640,5,226,289,250,446
Video_2024-01-25_142650429_jpg.rf.745a04b1285454e865b784b830959ef5.jpg,640,640,5,253,302,285,442
Video_2024-01-25_1426501142_jpg.rf.201eca3d7134ce29e018f45e085772f8.jpg,640,640,4,365,385,489,503
Video_2024-01-25_1426501142_jpg.rf.201eca3d7134ce29e018f45e085772f8.jpg,640,640,5,288,364,437,490
Video_2024-01-25_1426501142_jpg.rf.201eca3d7134ce29e018f45e085772f8.jpg,640,640,5,229,377,347,479
Video_2024-01-25_1426501142_jpg.rf.201eca3d7134ce29e018f45e085772f8.jpg,640,640,5,157,247,318,316
Video_2024-01-25_14265023_jpg.rf.0d20d2e2778716e8b10bda4c06a0c93b.jpg,640,640,0,97,254,149,419
Video_2024-01-25_14265023_jpg.rf.0d20d2e2778716e8b10bda4c06a0c93b.jpg,640,640,5,148,269,185,428
Video_2024-01-25_14265023_jpg.rf.0d20d2e2778716e8b10bda4c06a0c93b.jpg,640,640,4,180,268,220,429
Video_2024-01-25_142650368_jpg.rf.caf48f1b840f3ad2f3b969b552cf1212.jpg,640,640,0,195,281,269,449
Video_2024-01-25_142650368_jpg.rf.caf48f1b840f3ad2f3b969b552cf1212.jpg,640,640,5,230,286,303,454
Video_2024-01-25_142650368_jpg.rf.caf48f1b840f3ad2f3b969b552cf1212.jpg,640,640,4,264,286,333,451
Video_2024-01-25_142650680_jpg.rf.653b286fa8728b054fffe8058af9b83b.jpg,640,640,0,100,340,200,444
Video_2024-01-25_142650680_jpg.rf.653b286fa8728b054fffe8058af9b83b.jpg,640,640,6,135,263,227,378
Video_2024-01-25_142650680_jpg.rf.653b286fa8728b054fffe8058af9b83b.jpg,640,640,9,164,208,271,284
Video_2024-01-25_142650766_jpg.rf.5ab05c9c143cad8de70abb5d48e57530.jpg,640,640,8,312,311,356,442
Video_2024-01-25_142650766_jpg.rf.5ab05c9c143cad8de70abb5d48e57530.jpg,640,640,6,279,274,310,417
Video_2024-01-25_142650766_jpg.rf.5ab05c9c143cad8de70abb5d48e57530.jpg,640,640,0,236,256,277,394
